model,mode,split,train_rows,full_split_rows,metric_rows,fit_seconds,eval_seconds,n_test,events_test,harrell_c,n_ipcw_eval,ipcw_c,auc_30,auc_60,auc_90,mean_dynamic_auc,ibs_rows,ibs,km_ibs,ibs_gain_vs_km
RSF,day0,validation,50000,78741,10000,1035.4051172733307,1246.6749939918518,10000,8972,0.559023357591775,10000,0.5634513109066819,0.5899526878932364,0.5852926342131664,0.5815825314790135,0.5887946610090344,2000,0.17544366779979506,0.17482714943622357,-0.0006165183635714888
RSF,day0,test,50000,156100,10000,1035.4051172733307,1253.7804667949677,10000,8359,0.5264889600966205,10000,0.5269198366828807,0.53352543144368,0.5442859935929045,0.5518095632230241,0.5365459927273772,2000,0.1742950723496057,0.17919999513721513,0.004904922787609428
